ADM2_PCODE,ADM2_NAME,ADM1_PCODE,ADM1_NAME,COUNTRY,ISO3,ADMIN2_POPULATION,ADMIN2_AREA_SQ_KM,ADMIN2_GDP,ADMIN1_POPULATION,ADMIN1_AREA_SQ_KM,ADMIN1_GDP,ADMIN0_POPULATION,ADMIN0_AREA_SQ_KM,ADMIN0_GDP,,,,,,,,,,,,,,
TZ2501,Geita,TZ25,Geita,United Republic of Tanzania,TZA,"1,601,548",,,"3,438,359",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2502,Nyang'hwale,TZ25,Geita,United Republic of Tanzania,TZA,"293,206",,,"3,438,359",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2503,Mbogwe,TZ25,Geita,United Republic of Tanzania,TZA,"384,331",,,"3,438,359",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2504,Bukombe,TZ25,Geita,United Republic of Tanzania,TZA,"444,902",,,"3,438,359",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2505,Chato,TZ25,Geita,United Republic of Tanzania,TZA,"714,371",,,"3,438,359",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2601,Songwe,TZ26,Songwe,United Republic of Tanzania,TZA,"230,343",,,"1,748,458",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2605,Ileje,TZ26,Songwe,United Republic of Tanzania,TZA,"167,624",,,"1,748,458",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2606,Mbozi,TZ26,Songwe,United Republic of Tanzania,TZA,"791,789",,,"1,748,458",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2609,Momba,TZ26,Songwe,United Republic of Tanzania,TZA,"353,318",,,"1,748,458",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ2610,Tunduma,TZ26,Songwe,United Republic of Tanzania,TZA,"205,384",,,"1,748,458",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ5101,Kaskazini A,TZ51,Kaskazini Unguja,United Republic of Tanzania,TZA,"148,959",,,"303,364",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ5102,Kaskazini B,TZ51,Kaskazini Unguja,United Republic of Tanzania,TZA,"154,405",,,"303,364",0,0,71284371.86,0,0,,,,,,,,,,,,,,
TZ5201,Kati,TZ52,Kusini Unguja,United Republic of Tanzania,TZA,"109,367",,,"161,640",0,0,71284371.86,0,0,,,,,,,,,,,,,,
