Dimension,,,,,,Hazards & Exposure,,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,Hazards & Exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,Subnational,,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational,Subnational
Survey Year,,,,,,2023,,2000 - 2022,2000-2022,"n/a

modelled future risk",1980-2018,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measurament,,,,,,index,,meters / year,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,Kilolo,TZA,TZ11,TZ1104,0,No data,0.00,0.062660365,0.010,0.174567411,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Iringa,Mafinga Township Authority,TZA,TZ11,TZ1105,0,No data,0.00,0.358276644,0.000,4.99E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Chunya,TZA,TZ12,TZ1201,0.555650929,No data,0.00,0.090864612,0.004,0.016085465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Mbeya,TZA,TZ12,TZ1202,0.999999993,No data,0.00,0.059161148,0.000,0.130163697,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Kyela,TZA,TZ12,TZ1203,0.99999995,No data,0.00,0.03442623,0.316,0.03112146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Rungwe,TZA,TZ12,TZ1204,0.999999965,No data,0.00,0.082480091,0.005,0.164878932,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Mbarali,TZA,TZ12,TZ1207,0.27596554,No data,0.00,0.01023458,0.127,0.012887724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Mbeya,Mbeya Urban,TZA,TZ12,TZ1208,0.999999973,No data,0.00,0.061538462,0.000,0.067545909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Iramba,TZA,TZ13,TZ1301,1.000000017,No data,0.00,0.015837104,0.034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,Singida,Singida,TZA,TZ13,TZ1302,0.999999956,No data,0.00,0.034507042,0.009,0.001194254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
